,length_all,length_non,GC_count,GC_content_all,GC_content_non,Methionine_count,Methionine_percentage,Proline_count,Proline_percentage,Glycine_count,Glycine_percentage,Lysine_count,Lysine_percentage,Valine_count,Valine_percentage,Leucine_count,Leucine_percentage,Glutamine_count,Glutamine_percentage,Aspartic acid_count,Aspartic acid_percentage,Glutamic acid_count,Glutamic acid_percentage,Phenylalanine_count,Phenylalanine_percentage,Tyrosine_count,Tyrosine_percentage,Tryptophan_count,Tryptophan_percentage,Serine_count,Serine_percentage,Alanine_count,Alanine_percentage,Threonine_count,Threonine_percentage,Arginine_count,Arginine_percentage,Cysteine_count,Cysteine_percentage,Isoleucine_count,Isoleucine_percentage,Asparagine_count,Asparagine_percentage,Histidine_count,Histidine_percentage,Stop_count,Stop_percentage,Unknown_count,Unknown_percentage
Y,83604,83604,41675,0.49848093392660636,0.49848093392660636,602,0.021601837232668293,1697,0.06089421558777092,1775,0.06369312473087411,1539,0.05522463040045931,1771,0.0635495909286637,2396,0.08597674752404191,1326,0.04758145543275441,1385,0.04969857901535812,1828,0.0655949476101622,1033,0.03706760442084111,979,0.03512989809100043,363,0.013025692550595665,2191,0.07862064016075786,1961,0.07036744653365867,1456,0.05224630400459308,1712,0.06143246734606,551,0.01977178125448543,1218,0.04370604277307306,1213,0.04352662552031003,812,0.029137361848715373,60,0.002153007033156308,,
13,562314,562309,270439,0.48093947509754337,0.4809437515671988,4083,0.02178320297911843,11091,0.059171566064512,12171,0.06493347133452128,12072,0.06440529668477044,10930,0.058312615371482836,18019,0.09613312135212711,8652,0.04615926332974103,9264,0.0494243429827463,13300,0.07095679638066987,7177,0.03828999455820058,5190,0.027689155880877944,1963,0.010472796337989095,15582,0.0831314888123006,12399,0.06614987355818991,9889,0.05275877890289055,9853,0.05256671539389025,3973,0.02119634225717304,9057,0.048319977805994514,7744,0.04131499482495545,4716,0.025160319679040536,310,0.0016538802163915535,3.0,1.6005292416692453e-05
21,272511,272497,142638,0.5234210729108183,0.5234479645647475,1849,0.020355141627310457,5912,0.06508361130376389,6153,0.06773671521516562,4974,0.054757422636150466,5682,0.06255160342151327,8470,0.09324394244635996,4206,0.04630271805541795,4161,0.04580732520889065,6049,0.06659180730319143,3158,0.03476556909629336,2622,0.028864889857657124,1103,0.01214262910488017,8346,0.09187885993592919,6054,0.06664685095280558,4795,0.05278685997996411,4819,0.053051069498112,3171,0.03490868258529013,3806,0.04189922608628643,3235,0.03561324130035118,2052,0.022589913801644705,211,0.0023228420137168773,9.0,9.907856930545922e-05
18,417615,417604,206736,0.49503968966631945,0.4950527293799868,3098,0.02225494773894616,8275,0.05944470385402823,8903,0.06395603606192306,8474,0.06087425020652994,8291,0.05955964225422938,12978,0.09322940986315147,6591,0.04734743723285802,6983,0.050163428037786,9908,0.0711756043245573,5034,0.03616249416328436,3683,0.02645738299630042,1372,0.009855967817247943,11996,0.08617506555080637,9403,0.06754786106820876,7573,0.054401781545203115,7348,0.052785460292374554,3196,0.022958945440178156,6330,0.04547250457957688,5736,0.04120541647210948,3780,0.027154197047519844,245,0.0017599942530799899,8.0,5.74692001005711e-05
20,717801,717770,400274,0.5576392342724515,0.5576633183331708,5125,0.021419585651176302,15538,0.06494000426301998,16623,0.0694746872740495,13296,0.055569719184007826,14139,0.05909297980916717,23755,0.09928239163779376,11243,0.04698934662949759,11348,0.047428186920887544,16821,0.07030221468067055,8539,0.03568816426836965,6074,0.025385865999072166,2955,0.012350219629117263,19219,0.08032449104974777,18147,0.07584414064622368,12134,0.05071321995929234,14580,0.06093610903300497,5528,0.023103896483844408,9397,0.03927411636372755,8109,0.033891008789344125,6151,0.025707682212758133,523,0.0021858425942566256,23.0,9.612692097113267e-05
22,611016,610995,356004,0.582642680388075,0.5826627059141237,4505,0.02211889705015908,13902,0.06825680505911466,13972,0.06860049491339015,10548,0.05178915118425704,11999,0.05891335087788208,21004,0.10312659570289485,9979,0.04899544365450332,9673,0.047493028005813266,14040,0.0689343650575435,7170,0.03520366078793354,5183,0.025447778781570368,2708,0.01329588750540084,16178,0.07943163517812954,16087,0.07898483836757139,9894,0.04857810597431164,13058,0.06411288738756432,4391,0.02155917357319612,7380,0.036234730350760046,6332,0.031089202246749676,5215,0.025604894143524883,440,0.0021603362268745826,14.0,6.873797085510036e-05
X,1134858,1134838,582743,0.5134941992742704,0.5135032489218726,8839,0.02336591890791623,24946,0.06594481424107686,25117,0.06639685317458219,22315,0.05898975907117895,21883,0.05784776597600757,35144,0.09290325309421972,17743,0.0469036654806152,18197,0.04810381563155919,28221,0.07460228504359136,13726,0.03628471579704245,9952,0.026308137229503602,4564,0.012064945570282802,31945,0.08444668848437425,26451,0.06992328555643085,19774,0.05227261912944175,21299,0.056303960495498115,7632,0.02017521134802768,16418,0.043401024621582615,13893,0.036726180720407314,9382,0.02480134078448581,831,0.002196750606683832,14.0,3.700903549166504e-05
14,860850,860822,445470,0.5174769123540687,0.5174937443513293,6389,0.02226520299703781,17429,0.0607388046698031,18355,0.06396584770866004,16215,0.05650810245687402,17085,0.059539989545216936,29751,0.1036800836382645,13383,0.04663878724516466,14011,0.048827321833071965,21177,0.07380031364349189,10459,0.036448858686182264,7533,0.02625196027182436,3457,0.012047395016553407,23203,0.08086077713887437,20570,0.07168496253702736,14549,0.050702212929081725,16533,0.057616309461578676,6190,0.021571702387175467,12519,0.043627809722948246,10176,0.03546262415054888,7366,0.02566997734797003,579,0.0020177731312075275,21.0,7.318348144276007e-05
10,1103331,1103299,566313,0.5132757078338233,0.5132905948432837,7848,0.02133901793750017,22875,0.0621980167329659,24000,0.06525693558868553,22552,0.06131976714150151,21753,0.059147254994194855,35661,0.09696364916783812,16846,0.04580493070529152,18239,0.049592552008418146,26504,0.07206540920177172,13205,0.03590490976869135,9933,0.027008214216767225,4283,0.011645643963597506,29930,0.08138083675705658,26102,0.07097235553066124,19499,0.05301854112682414,20297,0.05518833423514793,7851,0.021347175054448754,16229,0.04412728365286573,13906,0.03781095609567754,9541,0.025942350935485362,701,0.00190604632698619,22.0,5.981885762296174e-05
9,1176756,1176731,630500,0.5357950161290871,0.5358063992535252,8535,0.02175897127356903,25598,0.0652590681500668,25966,0.0661972405494427,21742,0.05542865300878007,23382,0.05960963870165098,39686,0.10117475500443593,19063,0.04859885991658423,18392,0.046888224916635225,26974,0.06876701712164629,14094,0.03593098314348939,10120,0.025799740982837563,4830,0.012313512741808837,32358,0.08249288722555909,28146,0.07175489226313696,20396,0.05199718548280187,22198,0.056591170981919785,9431,0.024043217115527774,16492,0.04204440002855307,13543,0.034526273925945566,10535,0.026857734313655506,755,0.0019247830476326444,16.0,4.07901043206918e-05
