,length_all,length_non,GC_count,GC_content_all,GC_content_non,Methionine_count,Methionine_percentage,Serine_count,Serine_percentage,Valine_count,Valine_percentage,Phenylalanine_count,Phenylalanine_percentage,Proline_count,Proline_percentage,Lysine_count,Lysine_percentage,Isoleucine_count,Isoleucine_percentage,Leucine_count,Leucine_percentage,Arginine_count,Arginine_percentage,Glutamic acid_count,Glutamic acid_percentage,Asparagine_count,Asparagine_percentage,Tyrosine_count,Tyrosine_percentage,Alanine_count,Alanine_percentage,Glycine_count,Glycine_percentage,Threonine_count,Threonine_percentage,Histidine_count,Histidine_percentage,Glutamine_count,Glutamine_percentage,Aspartic acid_count,Aspartic acid_percentage,Cysteine_count,Cysteine_percentage,Tryptophan_count,Tryptophan_percentage,Stop_count,Stop_percentage,Unknown_count,Unknown_percentage
2,2228352,2228352,1167443,0.5239042126199093,0.5239042126199093,15616,2.1023608478373257,60676,8.16872738238842,44378,5.974549801826642,26471,3.5637547389281403,45661,6.147278347406513,43363,5.8379017318628295,32023,4.311212950198174,74456,10.023910046527657,42846,5.768298724797519,54674,7.360686282957091,27044,3.640896949853524,19534,2.6298358607616747,52737,7.099910606582801,47988,6.460559193520593,37978,5.112926503532655,18983,2.555655479924177,35433,4.770296613820438,36695,4.940197957952782,15952,2.1475960709977597,8939,1.203445416164053,1337,0.17999849215922797,,
1,2887062,2886870,1544022,0.5348073577914156,0.5348429267684378,20225,2.1016174921078936,79656,8.277203606988696,57891,6.015561841068879,34599,3.5952466555965894,61803,6.4220650612976105,54364,5.649064689293129,40679,4.227030801555353,95788,9.953509831101654,55882,5.806802902050596,68473,7.11515720826224,33474,3.4783458062209958,25532,2.6530777655623607,68066,7.072865078754803,65040,6.758427771900985,50239,5.220428241582619,23793,2.472375030394221,46232,4.804053394073283,45324,4.709701419643915,21610,2.2455354266725136,11798,1.225952196385114,1822,0.18932742005540582,64.0,0.006650359431144881
3,2240514,2240514,1229562,0.5487856804286874,0.5487856804286874,15815,2.117594444846138,60589,8.1127366309695,45404,6.079497829515906,26663,3.5701182853577347,48198,6.4536084130695,41551,5.563589426354845,30833,4.128472305908376,73927,9.898666109651625,44283,5.9293983434158415,52451,7.0230759548924935,25422,3.403951057659091,19613,2.6261384664411827,55928,7.488638767711338,51082,6.839769802822031,38893,5.207688949946307,18864,2.5258489792967147,33950,4.5458318939314815,36377,4.8708019677627545,16619,2.2252483135566212,8948,1.1981179318674198,1428,0.1912061250230974,,
4,1252431,1252431,623651,0.49795238220708365,0.49795238220708365,9337,2.236530395686469,34389,8.237340021126913,25893,6.202257848935391,16022,3.8378162150250192,24501,5.868826306598927,25287,6.05710015162512,19998,4.790204011238942,40977,9.81539102752966,22409,5.367720856478321,29169,6.986971737365172,16218,3.8847649092045793,11676,2.7968007818394787,27878,6.6777331445804196,26376,6.317952845306447,22315,5.345204646004451,10366,2.4830110401291567,19377,4.641453301619011,19993,4.789006340469055,9352,2.240123407996129,5144,1.232163688059462,800,0.1916273231818759,,
5,1064304,1064304,526255,0.49445928982696674,0.49445928982696674,7426,2.093198935642448,29705,8.373077616921481,21662,6.105962206286925,13058,3.6807152843548465,20767,5.853684661525278,22270,6.277341812113832,16498,4.650363054164976,34416,9.700987687728318,19290,5.437356244080639,25573,7.208372795742569,14007,3.9482140441076985,9591,2.7034569070491137,24321,6.855466107427953,22423,6.320468587922249,18735,5.2809159788932485,9075,2.5580097415775946,15956,4.497587155549542,17398,4.904049970685068,7917,2.231599242321743,4028,1.1353898886032563,652,0.1837820773012222,,
6,1416111,1416111,768793,0.542890352521801,0.542890352521801,9958,2.109580393062408,38342,8.122668350150517,28314,5.998258611083453,17068,3.6158182515353667,29776,6.307980094780706,26718,5.660149522177287,19984,4.23356643652934,46996,9.955999211926184,27674,5.8626760190408795,33338,7.06258195861765,16222,3.436595012679091,12549,2.658478043034762,34370,7.2812088882863,31601,6.694602329902105,24016,5.0877367663975495,12224,2.589627508013143,22394,4.744119634689654,22599,4.78754843370329,11261,2.3856180765490844,5772,1.2227855019839546,861,0.1824009558572739,,
7,1171470,1171470,590319,0.5039130323439781,0.5039130323439781,8241,2.110425363005455,32421,8.302645394248252,23754,6.083126328459115,14632,3.7470869932648725,23472,6.010909370278368,23346,5.9786422187508,18139,4.645189377448846,37487,9.599989756459832,21530,5.513585495147122,27290,6.988655279264513,15096,3.865912059207662,10867,2.7829137750006403,26706,6.839099592819278,26035,6.66726420650977,20261,5.18860918333376,10172,2.6049322645906425,17628,4.5143281518092655,19306,4.94404466183513,8616,2.2064585520755973,4846,1.24100489129043,645,0.16517708520064533,,
8,1737444,1737384,958937,0.5519239756792161,0.551943036196949,12084,2.0865132919391938,47491,8.200149184664369,35557,6.139536008067022,21665,3.7408399925407667,37775,6.522512380255134,30076,5.193145793475933,23861,4.120017681145407,59667,10.302547880679896,34169,5.899873607437132,39393,6.801888291075857,19758,3.4115631928280856,15543,2.6837699517221854,42306,7.304868531014525,38303,6.613680786258434,30866,5.329553067609661,14528,2.508512504575687,26943,4.652178717702556,27423,4.735059086796467,13081,2.25866272524467,7530,1.3001857901607188,1109,0.1914881860940554,20.0,0.0034533487122462648
9,1036827,1036827,533949,0.5149836954477459,0.5149836954477459,7182,2.0780708835707404,27761,8.0324875798952,20876,6.040351958427008,13282,3.8430712163167047,21824,6.314650370794742,19937,5.768657644910868,15675,4.535472166523441,33995,9.836260051098206,19305,5.585792036665712,23806,6.888130806778758,12595,3.644291670645151,9628,2.7858070825701877,23940,6.926902945235801,23002,6.655497976036504,17958,5.196045241877382,9136,2.6434496786831363,16339,4.727596792907592,16299,4.716023020233848,8077,2.337034047145763,4349,1.2583584339528195,643,0.18604839573043525,,
10,1556895,1556895,829880,0.5330353042433819,0.5330353042433819,11118,2.1423410056554872,42205,8.132533022458162,31551,6.0796007437881165,19154,3.6908076652568096,32731,6.30697638569075,29218,5.630052122975538,22449,4.325725241586619,52667,10.148468586513541,29474,5.679381075795092,35783,6.895069995086374,19177,3.6952395633616906,13988,2.695364812655959,36774,7.086026996040196,34802,6.706039906352067,26794,5.162968600965383,12779,2.4624011253167364,24241,4.6710279113235,24637,4.747333635216248,11918,2.2964939832165943,6518,1.2559613846791209,987,0.190186236066016,,
11,1718142,1718142,946453,0.5508584273011194,0.5508584273011194,11835,2.0664764612005295,45871,8.00940783707051,35449,6.189651379222439,20729,3.6194330852746743,36281,6.334924587141226,32054,5.596859863736524,23749,4.146746892864502,58249,10.170696019304575,34109,5.955677703007085,40165,7.0130990337236385,18809,3.284187220846705,14920,2.6051397381590116,41489,7.244278994402093,39424,6.883715082920968,29536,5.157198881116928,15037,2.6255687830225907,27122,4.735697049487179,26707,4.663235052748842,13009,2.271465338720548,7087,1.2374413756255305,1083,0.18909962040390144,,
12,783951,783951,386822,0.4934262473037218,0.4934262473037218,5477,2.0959218114397453,22172,8.484713968092393,15723,6.016830133515998,9663,3.697807643589969,16102,6.1618647083810085,16381,6.268631585392455,11841,4.531278102840611,25058,9.589119728146274,14193,5.431334356356456,18807,7.197005935319938,9921,3.796538304052167,7166,2.7422632281864554,17246,6.59964717182579,16626,6.362387445133688,13855,5.301989537611407,6576,2.5164838108504233,12247,4.686644956126084,12982,4.967912535349786,5598,2.142225725842559,3228,1.2352812867130727,455,0.17411802523371997,,
