,length_all,length_non,GC_count,GC_content_all,GC_content_non
1,248956422,230481012,96166571,0.3862787319461074,0.4172429223800874
10,133797422,133262962,55359481,0.413755961605897,0.4154153574944552
11,135086622,134533742,55885058,0.41369794560411766,0.41539807909305015
12,133275309,133137816,54275482,0.40724334017488567,0.4076639051973032
13,114364328,97983125,37772797,0.3302847807578601,0.38550308535270744
14,107043718,90568149,36982791,0.34549239965674583,0.40834213140427544
15,101991189,84641325,35578844,0.3488423298996936,0.4203483818335783
16,90338345,81805943,36472718,0.4037346267523497,0.4458443563201759
17,83257441,82920204,37575444,0.4513163454062923,0.45315185186953955
18,80373285,80089605,31856106,0.39635192215921,0.39775581362899715
19,58617616,58440758,28015712,0.47794014686643005,0.47938652677982035
2,242193529,240548228,96769083,0.3995527188507171,0.4022855782583441
20,64444167,63944257,28010605,0.4346491902052206,0.438047235422565
21,46709983,40088619,16411625,0.3513515515516244,0.4093836457673935
22,50818468,39159777,18406838,0.36220765254080467,0.47004450510532786
3,198295559,198100135,78577742,0.3962657681103186,0.3966566807236149
4,190214555,189752667,72568001,0.381506036696298,0.38243468272306286
5,181538259,181265378,71611274,0.394469322304121,0.3950631653442391
6,170805979,170078522,67360020,0.39436570308818053,0.3960524774550898
7,159345973,158970131,64696843,0.40601492326385935,0.4069748360464017
8,145138636,144768136,58133960,0.40054090077021254,0.4015659910133816
9,138394717,121790550,50270473,0.3632398265607205,0.4127616879963183
X,156040895,154893029,61221521,0.3923427957779914,0.3952503311172254
Y,57227415,26415043,10572683,0.18474856849641033,0.4002523486333147
