,length_all,length_non,GC_count,GC_content_all,GC_content_non
1,195154279,191954033,78981540,0.40471333964447687,0.4114606959052535
10,130530862,127155760,52647376,0.40333278424224306,0.41403846746698697
11,121973369,118822369,52053197,0.4267587050087958,0.43807573807925004
12,120092757,116922755,48799170,0.4063456549673516,0.4173624714881205
13,120883175,117256175,48803151,0.403721618000189,0.41620964524896026
14,125139656,121174153,49863118,0.3984597656237764,0.4114996207153187
15,104073951,100923951,42349254,0.40691502141587765,0.41961549840631984
16,98008968,94850959,38833003,0.39621887458298716,0.40941075777631303
17,95294699,91815497,39203969,0.4113971649147032,0.42698640513812175
18,90720763,87605758,36305111,0.40018524756014234,0.41441466667065424
19,61420004,58220004,24877121,0.40503287821342376,0.42729507541772066
2,181755017,178354017,75058694,0.41296628417140196,0.4208410624135256
3,159745316,156538176,63322388,0.39639589808066733,0.4045172214093002
4,156860686,152709788,64572955,0.4116579918565446,0.4228475191125273
5,151758149,148006149,62954932,0.41483724211739037,0.4253534898742619
6,149588044,146383041,60627727,0.4052979461379948,0.4141717960347606
7,144995196,141674695,61008888,0.4207648921002872,0.4306265702566009
8,130127694,125677394,53250005,0.4092134684258679,0.4237039240326705
9,124359700,121184854,51753224,0.4161575172664456,0.42706016710636135
X,169476592,164206321,64479649,0.38046345066934084,0.3926745852859099
Y,91455967,88485967,34406054,0.37620349036383816,0.38883062666874624
