,length_all,length_non,GC_count,GC_content_all,GC_content_non,Methionine_count,Methionine_percentage,Threonine_count,Threonine_percentage,Serine_count,Serine_percentage,Leucine_count,Leucine_percentage,Lysine_count,Lysine_percentage,Arginine_count,Arginine_percentage,Proline_count,Proline_percentage,Glutamine_count,Glutamine_percentage,Alanine_count,Alanine_percentage,Glycine_count,Glycine_percentage,Asparagine_count,Asparagine_percentage,Isoleucine_count,Isoleucine_percentage,Valine_count,Valine_percentage,Cysteine_count,Cysteine_percentage,Histidine_count,Histidine_percentage,Tryptophan_count,Tryptophan_percentage,Glutamic acid_count,Glutamic acid_percentage,Tyrosine_count,Tyrosine_percentage,Aspartic acid_count,Aspartic acid_percentage,Phenylalanine_count,Phenylalanine_percentage,Stop_count,Stop_percentage,Unknown_count,Unknown_percentage
Y,168297,168297,70861,0.4210473151630748,0.4210473151630748,1351,2.4082425711688265,2792,4.976915809550973,5788,10.317474464785468,4874,8.688211911085759,4781,8.52243355496533,2424,4.3209326369454,2977,5.306689958822795,2943,5.246082817875541,2525,4.500971496818125,3470,6.1854935025579785,2475,4.411843348366281,2414,4.303107007255031,3324,5.925239309078593,892,1.590046168380898,1511,2.6934526462147277,456,0.8128487138808179,4053,7.224727713506479,1707,3.042834988145956,3449,6.1480596802082035,1741,3.10344212909321,152,0.2709495712936059,,
18,870066,870059,445700,0.5122599894720631,0.5122641108246682,5951,2.051913303128728,15891,5.479239505968512,25346,8.739337015812595,28687,9.891318589624236,16128,5.56095744460765,15266,5.263738612932812,17532,6.045058650723049,13226,4.560343698064285,20049,6.9129238471564225,18634,6.425029825323596,11642,4.0141782347546044,12847,4.4296639565274365,18699,6.447441918199309,6161,2.1243216031887235,7166,2.4708470391901303,2923,1.0078545765493652,19919,6.868099661404997,7778,2.6818655136506884,15274,5.2664970243636695,10409,3.589038072973774,489,0.16860789871113224,5.0,0.001724007144285606
19,1051275,1051270,552766,0.5258053316211267,0.5258078324312498,8151,2.3260326746094027,18181,5.188271384747093,28232,8.056502818006706,36937,10.540629235927803,18906,5.395163016337304,19487,5.5609616893771845,21811,6.224156381536705,15596,4.450595705215096,24784,7.07255475494043,22991,6.560890347435257,12203,3.4823428693729044,15894,4.535635299992865,21915,6.253834629378612,7614,2.172790183348791,8900,2.5397731326246697,4127,1.1777127773417992,23542,6.718127987443818,9749,2.782050367411001,16797,4.793322394235571,13892,3.9643290290361706,711,0.20289648284226297,5.0,0.0014268388385531854
16,957528,957522,486533,0.5081136008555364,0.5081167847840572,7184,2.250795799182896,18017,5.6448479835576615,27980,8.766323282452316,32092,10.054640699801991,18226,5.710329097425872,17110,5.3606787477755224,18805,5.891733714314359,15368,4.81489836328546,21138,6.622678396871945,19697,6.171203348622703,11701,3.666002456325037,14502,4.543574704865028,19502,6.110108529463369,7641,2.3939769907511845,8220,2.575381607639672,3628,1.136676943128556,21701,6.799070105521718,9167,2.872083114018598,14791,4.634120359926812,12009,3.762500939920295,692,0.21680828132441035,5.0,0.0015665338245983407
12,1001442,1001430,514028,0.513287838936254,0.5132939895948794,7420,2.222794729999341,17252,5.1681475312599225,27578,8.261486935838521,33697,10.094543668030699,19954,5.9775803291653435,18744,5.615103021443079,19176,5.7445164073406145,15926,4.770920332879987,23263,6.968850916977718,20485,6.136650949331065,12181,3.649038087078433,14910,4.4665592216024494,20294,6.079433456955071,7034,2.1071614731557093,8624,2.5834746295841393,3710,1.1113973649996705,24881,7.453551978047655,8730,2.6152288400127017,17347,5.196606493436465,11985,3.5903227545878846,614,0.18393476606733092,9.0,0.0026961122061986615
13,1113825,1113804,553957,0.49734653109779364,0.497355908220836,8447,2.2751329876775976,19792,5.330819473436133,31699,8.537876237290417,36559,9.846878998047268,24126,6.498148272843579,19484,5.247862096828496,20888,5.626018449936032,16770,4.5168675510066665,24614,6.62958723318295,22376,6.0267995421183755,14210,3.827351693488654,17286,4.65584809103764,22203,5.980203353309541,8741,2.354319574439432,10563,2.84506093865733,4334,1.1673287994074473,25984,6.998585953807825,10560,2.8442529122618008,17473,4.706215069692277,14364,3.8688303817924723,790,0.21278028415594907,12.0,0.0032321055821156824
15,1287294,1287280,693071,0.5383937158100636,0.5383995711888634,9197,2.1433332245780683,23790,5.54418804096034,37211,8.671911777729097,43001,10.021253886058663,22642,5.276650089257,25037,5.8347976452931505,26543,6.1857664216565915,20648,4.811954378720013,31704,7.388521969340338,29743,6.93151680967984,14440,3.36519862595491,17511,4.080885951460972,25793,6.010981174463642,9653,2.2496026548713814,10498,2.4465273667087706,5119,1.1929675738409407,28996,6.757430703475663,11011,2.5660804757887474,20432,4.761616227528443,15367,3.581233191485395,752,0.17525134118546346,10.0,0.002330469962572652
X,1535823,1535804,736081,0.4792746299541028,0.47928055923802776,11270,2.201425554897928,30325,5.923534157256403,51551,10.069715064821922,48333,9.441127004869703,29369,5.736793888358229,26979,5.269943216112794,33481,6.540011446631546,26014,5.081444932130851,31977,6.246227592632745,33615,6.566186337878779,19120,3.7348053779634767,21963,4.290142809425305,28796,5.624866928024909,9930,1.9396766424255922,13770,2.6897630781672106,5398,1.0544183802430358,35377,6.91036662427897,12824,2.504976159362114,23494,4.589200708675413,17413,3.4013685170752104,931,0.181856893665481,11.0,0.002148685102384845
14,1137354,1137345,577613,0.5078568326132409,0.5078608513687579,9396,2.478384038742555,19935,5.258257323577356,30838,8.13414293175212,38370,10.120859468555963,22386,5.90475788540771,21302,5.6188310763403475,22175,5.849102390284819,17557,4.631011980438808,25441,6.710575599153826,23422,6.178023728759912,14784,3.8995774402692565,17662,4.6587078429407205,22255,5.8702039998100854,8731,2.302976909563777,9834,2.5939153508933894,4432,1.1690291676997664,26697,7.04187086870051,10474,2.7627282270955216,17955,4.735992487827009,14672,3.870035186933883,792,0.20890593430013876,8.0,0.002110160952526654
17,1568076,1568062,824382,0.5257283447996143,0.5257330386170955,11610,2.221193360525893,28926,5.534042992814124,42822,8.192587604172246,53525,10.240256212071355,28107,5.377354158854546,29402,5.6251100074231095,31997,6.121578290848148,23975,4.586831250526123,35139,6.7226971141704865,34723,6.643109135016415,17923,3.4289792076404457,22930,4.386904716353033,31669,6.058826230361284,13846,2.6489787484790277,14585,2.7903622018320537,6977,1.3348205061489367,34313,6.564669059407835,14542,2.7821355597560324,24136,4.617633328996809,20505,3.9229603667169197,1032,0.19743940982452382,8.0,0.0015305380606552232
8,1480488,1480466,796299,0.5378625156029634,0.5378705083399417,10527,2.1331479890414515,25896,5.247458945969167,40512,8.209185079514322,49942,10.120041499829787,26518,5.37349846807269,28397,5.754251300922399,31613,6.405928315528393,23158,4.6926418856485155,35094,7.111303840355341,33291,6.745951334965228,16784,3.4010407379188488,20404,4.134582651125845,30093,6.097921766336505,11876,2.4065038014492517,13078,2.650072138375995,6131,1.2423606270364906,33754,6.839771750936177,13221,2.6790490703065473,23936,4.850292606221732,18275,3.7031708463695754,981,0.19878580576134355,15.0,0.0030395383143936323
3,1451934,1451908,734905,0.5061559271977928,0.5061649911702394,10310,2.1302621193525324,25994,5.370905289083388,42530,8.787589518531833,46419,9.591138440177033,27551,5.692614127088421,26242,5.42214728768663,28713,5.932707685060064,24078,4.97501952568092,31341,6.475707573484746,33509,6.9236618193388955,18300,3.7811636066102174,21942,4.533677150614284,29349,6.064118616961928,11113,2.2961787519267403,12705,2.6251193236056185,5518,1.140134468922141,32961,6.8104335321026985,13287,2.7453727235535497,23050,4.762613176631995,18087,3.7371533416808203,963,0.1989759865117836,16.0,0.0033059353937575676
6,1527582,1527571,782361,0.512156466886884,0.512160154912603,11868,2.33074231039643,27663,5.432703448980153,42588,8.363806329218333,51912,10.194935525556074,28205,5.539146180041399,26862,5.275396018020636,30156,5.922300734101345,24010,4.715295152731572,33506,6.580203223133029,31751,6.235540874401505,18797,3.6915203242771906,24525,4.816435386120025,31732,6.23180948715028,12417,2.4385597630765483,13324,2.6166844071218436,6902,1.355475516207968,33199,6.51991186070535,14529,2.8533329143705544,23412,4.597854648719349,20765,4.078013487982969,1063,0.20876129726587508,8.0,0.0015711104215682039
